argument,dot,hist,scatter,grid,hex,bar,barBinary,bar2,gg_violin,gg_density,gg_lollipop,gg_boxplot,gg_cumcurve,gg_column,gg_lollipop2,gg_pie,gg_donut,gg_column2,gg_barcode,gg_dotstrip,gg_poppyramid,gg_freqpolygon,gg_barcode2,gg_barcode3,gg_beeswarm,gg_ridgeline,gg_gridplot,gg_quasirandom,gg_divergingstackedbar,gg_multi,gg_multi_col,gg_multi_stack,gg_multi_binary
hex.bins,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hex.style,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hex.diffuse,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hist.bins,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quant.cutoff,,,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
internal.labels,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjust,,,,,,,,,p,p,,,,,,,,,,,,,,,,,,,,,,,
alpha_densitygroup,,,,,,,,,,p,,,,,,,,,,,,,,,,p,,,,,,,
gg_lwd,,,,,,,,,,,p,p,p,,p,,,,,,,p,,,,,,,,,,,
gg_size,,,,,,,,,,,p,,,,p,,,,,p,,p,,,p,,,p,,,,,
labels,,,,,,,,,,,p,,,,,,,p,,,,,,,,,,,,,,,
ordered,,,,,,,,,,,,,,p,p,p,p,,,,,,,,,,,,,p,p,p,p
gg_barSize,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,
gg_bins,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,
gg_height,,,,,,,,,,,,,,,,,,,,,,,p,p,,,,,,,,,
gg_width,,,,,,,,,,,,,,,,,,,,,,,p,p,,,,,,,,,
gg_perN,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,
gg_swarmwidth,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,
gg_method,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,
gg_cutpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,
gg_theme,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
fill_colour,,,,,,,,,p,p,p,p,p,,p,,,p,p,p,,,p,p,p,p,,p,,,,,
rotation,,,,,,,,,p,p,p,p,,p,p,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
rotate_labels,,,,,,,,,p,p,p,p,,p,p,,,p,p,p,p,p,p,p,p,p,,p,p,p,p,p,p
caption,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
desc,,,,,,,,,,,,,,p,p,p,p,,,,,,,,,,,,,p,p,p,p
palette,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
table.direction,,,,,,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,
round,si,si,si,si,si,si,si,si,,,,,,,,,,,,,,,,,,,,,,,,,
round_percent,si,si,si,si,si,si,si,si,,,,,,,,,,,,,,,,,,,,,,,,,
signif,si,si,si,si,si,si,si,si,,,,,,,,,,,,,,,,,,,,,,,,,
privacy_controls,si,si,si,si,si,si,si,si,,,,,,,,,,,,,,,,,,,,,,,,,
